LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt
NH,New Hampshire,YRBSS,Tobacco,%,Crude Prevalence,9.3,9.3
NJ,New Jersey,YRBSS,Tobacco,%,Crude Prevalence,,
NM,New Mexico,YRBSS,Tobacco,%,Crude Prevalence,11.4,11.4
NV,Nevada,YRBSS,Tobacco,%,Crude Prevalence,7.5,7.5
NY,New York,YRBSS,Tobacco,%,Crude Prevalence,8.8,8.8
OH,Ohio,YRBSS,Tobacco,%,Crude Prevalence,,
OK,Oklahoma,YRBSS,Tobacco,%,Crude Prevalence,13.1,13.1
OR,Oregon,YRBSS,Tobacco,%,Crude Prevalence,,
PA,Pennsylvania,YRBSS,Tobacco,%,Crude Prevalence,12.9,12.9
PR,Puerto Rico,YRBSS,Tobacco,%,Crude Prevalence,3.8,3.8
RI,Rhode Island,YRBSS,Tobacco,%,Crude Prevalence,4.8,4.8
SC,South Carolina,YRBSS,Tobacco,%,Crude Prevalence,9.6,9.6
KS,Kansas,BRFSS,Tobacco,%,Crude Prevalence,56.1,56.1
NE,Nebraska,BRFSS,Tobacco,%,Crude Prevalence,59.1,59.1
OH,Ohio,BRFSS,Tobacco,%,Crude Prevalence,58.8,58.8
SD,South Dakota,YRBSS,Tobacco,%,Crude Prevalence,10.1,10.1
TN,Tennessee,YRBSS,Tobacco,%,Crude Prevalence,11.5,11.5
TX,Texas,YRBSS,Tobacco,%,Crude Prevalence,,
US,United States,YRBSS,Tobacco,%,Crude Prevalence,10.8,10.8
UT,Utah,YRBSS,Tobacco,%,Crude Prevalence,,
AL,Alabama,BRFSS,Tobacco,%,Crude Prevalence,76.2,76.2
VA,Virginia,YRBSS,Tobacco,%,Crude Prevalence,8.2,8.2
CT,Connecticut,BRFSS,Tobacco,%,Crude Prevalence,68,68
WA,Washington,YRBSS,Tobacco,%,Crude Prevalence,,
WI,Wisconsin,YRBSS,Tobacco,%,Crude Prevalence,,
WV,West Virginia,YRBSS,Tobacco,%,Crude Prevalence,18.8,18.8
WY,Wyoming,YRBSS,Tobacco,%,Crude Prevalence,15.7,15.7
OH,Ohio,BRFSS,Tobacco,%,Crude Prevalence,67.4,67.4
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,31,31
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.9,14.9
PR,Puerto Rico,BRFSS,Tobacco,%,Age-adjusted Prevalence,15,15
AK,Alaska,BRFSS,Tobacco,%,Crude Prevalence,21.1,21.1
AK,Alaska,BRFSS,Tobacco,%,Crude Prevalence,19.6,19.6
FL,Florida,BRFSS,Tobacco,%,Crude Prevalence,17.4,17.4
HI,Hawaii,BRFSS,Tobacco,%,Crude Prevalence,17.3,17.3
IL,Illinois,BRFSS,Tobacco,%,Crude Prevalence,17.6,17.6
MT,Montana,BRFSS,Tobacco,%,Crude Prevalence,19.3,19.3
NE,Nebraska,BRFSS,Tobacco,%,Crude Prevalence,18.4,18.4
NM,New Mexico,BRFSS,Tobacco,%,Crude Prevalence,19.1,19.1
TX,Texas,BRFSS,Tobacco,%,Crude Prevalence,12.4,12.4
TX,Texas,BRFSS,Tobacco,%,Crude Prevalence,13.1,13.1
TX,Texas,BRFSS,Tobacco,%,Crude Prevalence,18.2,18.2
VI,Virgin Islands,BRFSS,Tobacco,%,Crude Prevalence,,
VI,Virgin Islands,BRFSS,Tobacco,%,Crude Prevalence,,
VI,Virgin Islands,BRFSS,Tobacco,%,Crude Prevalence,,
WI,Wisconsin,BRFSS,Tobacco,%,Crude Prevalence,19.8,19.8
IA,Iowa,BRFSS,Tobacco,%,Crude Prevalence,20.7,20.7
GA,Georgia,YRBSS,Tobacco,%,Crude Prevalence,,
GU,Guam,YRBSS,Tobacco,%,Crude Prevalence,17.3,17.3
IA,Iowa,YRBSS,Tobacco,%,Crude Prevalence,,
ID,Idaho,YRBSS,Tobacco,%,Crude Prevalence,8.3,8.3
IL,Illinois,YRBSS,Tobacco,%,Crude Prevalence,5.6,5.6
IN,Indiana,YRBSS,Tobacco,%,Crude Prevalence,9.4,9.4
KS,Kansas,YRBSS,Tobacco,%,Crude Prevalence,,
KY,Kentucky,YRBSS,Tobacco,%,Crude Prevalence,12.6,12.6
LA,Louisiana,YRBSS,Tobacco,%,Crude Prevalence,,
MA,Massachusetts,YRBSS,Tobacco,%,Crude Prevalence,5.5,5.5
MD,Maryland,YRBSS,Tobacco,%,Crude Prevalence,5.8,5.8
ME,Maine,YRBSS,Tobacco,%,Crude Prevalence,5.1,5.1
MI,Michigan,YRBSS,Tobacco,%,Crude Prevalence,6.2,6.2
MN,Minnesota,YRBSS,Tobacco,%,Crude Prevalence,,
MO,Missouri,YRBSS,Tobacco,%,Crude Prevalence,10,10
MS,Mississippi,YRBSS,Tobacco,%,Crude Prevalence,11.6,11.6
MT,Montana,YRBSS,Tobacco,%,Crude Prevalence,12.3,12.3
NC,North Carolina,YRBSS,Tobacco,%,Crude Prevalence,8.6,8.6
ND,North Dakota,YRBSS,Tobacco,%,Crude Prevalence,10.6,10.6
NE,Nebraska,YRBSS,Tobacco,%,Crude Prevalence,9.3,9.3
NH,New Hampshire,YRBSS,Tobacco,%,Crude Prevalence,6,6
NJ,New Jersey,YRBSS,Tobacco,%,Crude Prevalence,,
NM,New Mexico,YRBSS,Tobacco,%,Crude Prevalence,8.7,8.7
NV,Nevada,YRBSS,Tobacco,%,Crude Prevalence,5.1,5.1
NY,New York,YRBSS,Tobacco,%,Crude Prevalence,6.7,6.7
OH,Ohio,YRBSS,Tobacco,%,Crude Prevalence,,
OK,Oklahoma,YRBSS,Tobacco,%,Crude Prevalence,9,9
OR,Oregon,YRBSS,Tobacco,%,Crude Prevalence,,
PA,Pennsylvania,YRBSS,Tobacco,%,Crude Prevalence,9.5,9.5
PR,Puerto Rico,YRBSS,Tobacco,%,Crude Prevalence,3.5,3.5
RI,Rhode Island,YRBSS,Tobacco,%,Crude Prevalence,5.3,5.3
SC,South Carolina,YRBSS,Tobacco,%,Crude Prevalence,7.2,7.2
SD,South Dakota,YRBSS,Tobacco,%,Crude Prevalence,11.7,11.7
TN,Tennessee,YRBSS,Tobacco,%,Crude Prevalence,11,11
TX,Texas,YRBSS,Tobacco,%,Crude Prevalence,,
US,United States,YRBSS,Tobacco,%,Crude Prevalence,7.3,7.3
UT,Utah,YRBSS,Tobacco,%,Crude Prevalence,,
VA,Virginia,YRBSS,Tobacco,%,Crude Prevalence,5.5,5.5
NJ,New Jersey,BRFSS,Tobacco,%,Crude Prevalence,71,71
WA,Washington,YRBSS,Tobacco,%,Crude Prevalence,,
WI,Wisconsin,YRBSS,Tobacco,%,Crude Prevalence,,
WV,West Virginia,YRBSS,Tobacco,%,Crude Prevalence,13.4,13.4
WY,Wyoming,YRBSS,Tobacco,%,Crude Prevalence,11.6,11.6
GU,Guam,BRFSS,Tobacco,%,Crude Prevalence,68.2,68.2
UT,Utah,BRFSS,Tobacco,%,Crude Prevalence,69.4,69.4
LA,Louisiana,BRFSS,Tobacco,%,Crude Prevalence,59.7,59.7
ME,Maine,BRFSS,Tobacco,%,Crude Prevalence,56.9,56.9
MS,Mississippi,BRFSS,Tobacco,%,Age-adjusted Prevalence,19,19
VI,Virgin Islands,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Tobacco,%,Crude Prevalence,19.1,19.1
DC,District of Columbia,YRBSS,Tobacco,%,Crude Prevalence,,
DE,Delaware,YRBSS,Tobacco,%,Crude Prevalence,9.9,9.9
FL,Florida,YRBSS,Tobacco,%,Crude Prevalence,9.9,9.9
GA,Georgia,YRBSS,Tobacco,%,Crude Prevalence,,
AK,Alaska,YRBSS,Tobacco,%,Crude Prevalence,11.1,11.1
AL,Alabama,YRBSS,Tobacco,%,Crude Prevalence,14,14
AR,Arkansas,YRBSS,Tobacco,%,Crude Prevalence,15.7,15.7
AZ,Arizona,YRBSS,Tobacco,%,Crude Prevalence,10.1,10.1
CA,California,YRBSS,Tobacco,%,Crude Prevalence,7.7,7.7
CO,Colorado,YRBSS,Tobacco,%,Crude Prevalence,,
CT,Connecticut,YRBSS,Tobacco,%,Crude Prevalence,10.3,10.3
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,28,28
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,18,18
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,20.9,20.9
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.8,18.8
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,28,28
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,25.5,25.5
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.4,18.4
AK,Alaska,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.4,15.4
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.6,19.6
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.9,19.9
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.9,15.9
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.4,24.4
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,33.1,33.1
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.2,23.2
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.1,22.1
AL,Alabama,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.4,23.4
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.2,26.2
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.4,23.4
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,28.7,28.7
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,27.8,27.8
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.4,24.4
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.1,26.1
AR,Arkansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,27.1,27.1
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.9,15.9
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.2,12.2
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.3,12.3
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.5,16.5
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.7,12.7
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,13,13
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.3,14.3
AZ,Arizona,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.8,15.8
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,15,15
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,8.3,8.3
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,10.3,10.3
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.2,15.2
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.8,15.8
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,8,8
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,11.8,11.8
CA,California,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.3,14.3
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.9,21.9
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.3,14.3
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.9,15.9
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.9,16.9
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.3,22.3
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.4,16.4
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.7,15.7
CO,Colorado,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.7,15.7
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.7,16.7
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,11.2,11.2
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.1,15.1
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.7,16.7
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.9,18.9
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,10.8,10.8
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.9,13.9
CT,Connecticut,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.8,13.8
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.7,24.7
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.4,15.4
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.9,15.9
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,35.1,35.1
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.8,15.8
DC,District of Columbia,BRFSS,Tobacco,%,Age-adjusted Prevalence,7,7
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.7,16.7
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.3,14.3
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.6,13.6
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.3,21.3
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,36,36
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,14,14
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.7,17.7
DE,Delaware,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.5,19.5
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.8,13.8
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.8,14.8
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.6,12.6
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,18,18
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.6,14.6
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.4,15.4
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.4,16.4
FL,Florida,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.4,19.4
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.7,16.7
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.5,15.5
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.8,19.8
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.7,22.7
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.1,22.1
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.7,17.7
GA,Georgia,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.5,19.5
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.5,21.5
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,37,37
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.5,24.5
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.2,26.2
GU,Guam,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,11.5,11.5
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.9,16.9
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.8,17.8
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.7,18.7
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.9,12.9
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.7,14.7
HI,Hawaii,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.2,14.2
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,30.6,30.6
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.6,17.6
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,14,14
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,20.3,20.3
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,25.8,25.8
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,19,19
IA,Iowa,BRFSS,Tobacco,%,Age-adjusted Prevalence,19,19
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.2,13.2
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.2,18.2
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.6,22.6
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,28.6,28.6
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.1,14.1
ID,Idaho,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.4,13.4
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,16,16
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,13,13
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,11.2,11.2
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.5,17.5
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,30.1,30.1
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,6.4,6.4
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.2,15.2
IL,Illinois,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.7,16.7
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.2,22.2
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.7,19.7
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.7,12.7
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.9,21.9
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,22,22
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,28.2,28.2
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,20.7,20.7
IN,Indiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.4,21.4
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.9,24.9
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.6,16.6
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.7,14.7
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.7,19.7
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.2,26.2
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,16,16
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.2,18.2
KS,Kansas,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.3,18.3
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.3,22.3
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.7,26.7
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,30.6,30.6
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.6,26.6
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,57.9,57.9
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,25.5,25.5
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.7,26.7
KY,Kentucky,BRFSS,Tobacco,%,Age-adjusted Prevalence,27,27
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.1,21.1
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.4,19.4
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.8,22.8
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.8,24.8
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.4,22.4
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.1,22.1
LA,Louisiana,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.3,23.3
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.7,15.7
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.2,12.2
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,11.1,11.1
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.5,16.5
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.8,17.8
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,8.5,8.5
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.3,14.3
MA,Massachusetts,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.4,15.4
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.7,14.7
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,13.6,13.6
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,10.3,10.3
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.9,16.9
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,12.5,12.5
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,6.6,6.6
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.2,15.2
MD,Maryland,BRFSS,Tobacco,%,Age-adjusted Prevalence,18.3,18.3
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.9,19.9
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.9,23.9
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.7,22.7
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,28.6,28.6
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,37.9,37.9
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.3,21.3
ME,Maine,BRFSS,Tobacco,%,Age-adjusted Prevalence,20.7,20.7
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.4,26.4
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,20,20
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.8,16.8
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.1,23.1
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,37.2,37.2
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,24,24
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.6,21.6
MI,Michigan,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.1,21.1
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,19,19
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,15.3,15.3
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.8,17.8
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,17.7,17.7
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,33.3,33.3
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,14.1,14.1
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.5,16.5
MN,Minnesota,BRFSS,Tobacco,%,Age-adjusted Prevalence,16.5,16.5
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,26.3,26.3
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,21.8,21.8
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,19.3,19.3
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.5,24.5
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,36.5,36.5
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,24.6,24.6
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,23.1,23.1
MO,Missouri,BRFSS,Tobacco,%,Age-adjusted Prevalence,23,23
MS,Mississippi,BRFSS,Tobacco,%,Age-adjusted Prevalence,22.1,22.1
