LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,6
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.9
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.8
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.2
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.6
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,18.9
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,18.9
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,13
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,13.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,18.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.4
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.4
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,6.8
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,6.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,20.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,6.2
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,13.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.5
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,19.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,20.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,14.8
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,14.2
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,14.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,14
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,7.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,24.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,13.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,13.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,10.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,13
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,3.8
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,6.2
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.4
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.4
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,13
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,18.6
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.8
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,13.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,6.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,17.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,9.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,10
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,10.2
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,3.9
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.6
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.8
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.4
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.7
AL,Alabama,YRBSS,Alcohol,%,Crude Prevalence,35
AL,Alabama,YRBSS,Alcohol,%,Crude Prevalence,19.4
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,10
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,16.6
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,11.7
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,10.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,6.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,16.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,8.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,10.1
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,3.9
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,3.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.6
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.9
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,5.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,4.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.6
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,3.9
AL,Alabama,PRAMS,Alcohol,%,Crude Prevalence,
AK,Alaska,YRBSS,Alcohol,%,Crude Prevalence,22
AK,Alaska,YRBSS,Alcohol,%,Crude Prevalence,12.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,16.2
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,23.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,23.3
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,18.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,20
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,21.9
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,16.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,23.9
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,28.1
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,18.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,20.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,21.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,22.6
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,25.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,0
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,10.1
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,6.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.8
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.2
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,9.7
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,0
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,10.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,6.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,4.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,8.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,9.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,11.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,14.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,14.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,13.2
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,19.6
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,18.4
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,16.2
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,17.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,12.7
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,15
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,20.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,15.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,16.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17.7
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17.9
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,18
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,5.8
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.7
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,6.9
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,4
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,6.3
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.2
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,7
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,6.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,7.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,4.9
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,5.4
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,15.1
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,25
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,24.8
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,16.9
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,20.1
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,20.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,15.6
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,26
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,28.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,20.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,20.6
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,19.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,20.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,19.6
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,6.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.8
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,4.2
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.2
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,6.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,8.1
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,7.2
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,8.2
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,6.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,7.6
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,19.8
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,19.9
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,14.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,22
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,24.7
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,16.4
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,20.6
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,14.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,23.5
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,25.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,21.1
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,21.4
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,20.2
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,19.8
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,17.1
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,19.7
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,19
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.6
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.3
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,7.6
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.5
AK,Alaska,BRFSS,Alcohol,%,Age-adjusted Prevalence,9.3
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,8.7
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,8.6
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,
AK,Alaska,BRFSS,Alcohol,%,Crude Prevalence,8.2
